,Unnamed: 0,ICAO,Year,Departures,Arrivals,Longitude,Latitude,Name
134,134,LCLK,2020,12120,,33.624901,34.875099,Larnaca International Airport
135,135,LCPH,2020,3667,,32.485699,34.717999,Paphos International Airport
136,136,LDZA,2020,10650,,16.06879997,45.74290085,Zagreb Airport
137,137,LEAL,2020,18502,,-0.558156,38.2822,Alicante-Elche Miguel Hernández Airport
138,138,LEAM,2020,1820,,-2.3701,36.843899,Almería Airport
139,139,LEAS,2020,2872,,-6.03462,43.563599,Asturias Airport
140,140,LEBA,2020,120,,-4.84888,37.841999,Córdoba Airport
141,141,LEBB,2020,8872,,-2.91061,43.301102,Bilbao Airport
142,142,LEBL,2020,61268,,2.07846,41.2971,Josep Tarradellas Barcelona-El Prat Airport
143,143,LEBZ,2020,651,,-6.82133,38.8913,Badajoz Airport
144,144,LECO,2020,2695,,-8.37726,43.302101,A Coruña Airport
145,145,LECU,2020,1249,,-3.78514,40.370701,Madrid-Cuatro Vientos Airport
146,146,LEGE,2020,2853,,2.761774,41.904639,Girona-Costa Brava Airport
147,147,LEGR,2020,2648,,-3.77736,37.188702,F.G.L. Airport Granada-Jaén Airport
148,148,LEIB,2020,15796,,1.37312,38.872898,Ibiza Airport
